tweet,date
"DACA recipients with arrest records: 53,792! That is a very large proportion of the total. @LouDobbs  Not good, but… https://t.co/slMxe1I0u7",2019-11-13 00:43:06
RT @IvankaTrump: It is an honor to serve our great Country and fight for America’s workers! 🇺🇸 https://t.co/ZAhfkqDII8,2019-11-13 00:38:17
"RT @VP: Communities of faith play a vital role in adoption. Under President @realDonaldTrump, we will stand for the freedom of religion and…",2019-11-13 00:38:05
"RT @WhiteHouse: Under President @realDonaldTrump, unemployment hit its lowest rate in 51 YEARS! Blue-collar jobs are leading the way. 💪 htt…",2019-11-12 20:27:14
"RT @TeamTrump: President @realDonaldTrump tells @EconClubNY ""The best is yet to come"" https://t.co/Au4vD5ADU2",2019-11-12 20:26:58
RT @TeamTrump: President @realDonaldTrump gives a shout-out to @IvankaTrump for her incredible work on #PledgetoAmericasWorkers https://t.c…,2019-11-12 20:26:40
"RT @WhiteHouse: Newt Gingrich: ""What you have is a coup being orchestrated by left-wingers in the bureaucracy, left-wingers in the news med…",2019-11-12 18:45:19
A total Impeachment Scam by the Do Nothing Democrats! https://t.co/aFTQe293JF,2019-11-12 15:41:35
"Many of the people in DACA, no longer very young, are far from “angels.” Some are very tough, hardened criminals. P… https://t.co/YpBQiUk0vL",2019-11-12 11:45:28
Economy is BOOMING. Seems set to have yet another record day!,2019-11-12 11:32:57
"I will be releasing the transcript of the first, and therefore more important, phone call with the Ukrainian President before week’s end!",2019-11-12 11:31:21
